,time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,cf
6959,20141017:2300,0.0,0.0,0.0,0.0,0.0,14.39,5.59,0.0,0.0
6960,20141018:0000,0.0,0.0,0.0,0.0,0.0,14.09,5.03,0.0,0.0
6961,20141018:0100,0.0,0.0,0.0,0.0,0.0,13.69,4.83,0.0,0.0
6962,20141018:0200,0.0,0.0,0.0,0.0,0.0,13.49,5.31,0.0,0.0
6963,20141018:0300,0.0,0.0,0.0,0.0,0.0,13.17,5.45,0.0,0.0
6964,20141018:0400,0.0,0.0,0.0,0.0,0.0,13.05,5.38,0.0,0.0
6965,20141018:0500,0.0,0.0,0.0,0.0,0.0,12.65,5.45,0.0,0.0
6966,20141018:0600,0.0,0.0,0.0,0.0,0.0,12.07,5.24,0.0,0.0
6967,20141018:0700,0.0,0.0,0.0,0.0,0.0,11.91,4.83,0.0,0.0
6968,20141018:0800,0.0,0.0,0.0,0.0,0.0,11.38,4.76,0.0,0.0
6969,20141018:0900,0.0,0.0,0.0,0.0,0.0,11.09,4.76,0.0,0.0
6970,20141018:1000,0.0,0.0,0.0,0.0,0.0,10.71,4.97,0.0,0.0
6971,20141018:1100,0.0,0.0,0.0,0.0,0.0,10.36,4.9,0.0,0.0
6972,20141018:1200,4.1,0.0,12.76,0.25,3.69,9.94,4.97,0.0,0.0040999999999999995
6973,20141018:1300,62.49,3.87,73.47,1.45,13.7,9.87,4.76,0.0,0.062490000000000004
6974,20141018:1400,63.49,0.0,78.37,1.52,22.67,10.27,4.9,0.0,0.06349
6975,20141018:1500,257.73,60.35,204.0,4.41,29.99,10.52,5.24,0.0,0.25773
6976,20141018:1600,373.25,116.46,256.88,5.88,34.92,10.02,6.0,0.0,0.37325
6977,20141018:1700,153.46,3.17,161.64,3.16,36.74,9.49,6.83,0.0,0.15346
6978,20141018:1800,66.64,0.0,81.1,1.57,35.13,9.28,7.1,0.0,0.06664
6979,20141018:1900,81.59,0.0,95.68,1.85,30.37,9.05,7.45,0.0,0.08159000000000001
6980,20141018:2000,76.05,0.0,90.21,1.75,23.17,8.91,7.72,0.0,0.07604999999999999
6981,20141018:2100,235.41,150.06,94.82,2.84,14.29,8.68,7.52,0.0,0.23541
6982,20141018:2200,27.7,0.0,41.01,0.79,4.32,8.43,7.03,0.0,0.0277
6983,20141018:2300,0.0,0.0,0.0,0.0,0.0,8.17,6.62,0.0,0.0
6984,20141019:0000,0.0,0.0,0.0,0.0,0.0,7.9,6.41,0.0,0.0
6985,20141019:0100,0.0,0.0,0.0,0.0,0.0,7.6,6.48,0.0,0.0
6986,20141019:0200,0.0,0.0,0.0,0.0,0.0,7.25,6.41,0.0,0.0
6987,20141019:0300,0.0,0.0,0.0,0.0,0.0,6.81,6.41,0.0,0.0
6988,20141019:0400,0.0,0.0,0.0,0.0,0.0,6.42,6.14,0.0,0.0
6989,20141019:0500,0.0,0.0,0.0,0.0,0.0,6.02,5.93,0.0,0.0
6990,20141019:0600,0.0,0.0,0.0,0.0,0.0,5.65,5.72,0.0,0.0
6991,20141019:0700,0.0,0.0,0.0,0.0,0.0,4.63,6.21,0.0,0.0
6992,20141019:0800,0.0,0.0,0.0,0.0,0.0,4.6,5.93,0.0,0.0
6993,20141019:0900,0.0,0.0,0.0,0.0,0.0,4.61,5.52,0.0,0.0
6994,20141019:1000,0.0,0.0,0.0,0.0,0.0,4.55,5.03,0.0,0.0
6995,20141019:1100,0.0,0.0,0.0,0.0,0.0,4.38,4.48,0.0,0.0
6996,20141019:1200,4.26,0.0,12.76,0.25,3.46,4.22,4.14,0.0,0.00426
6997,20141019:1300,76.27,11.79,77.5,1.57,13.45,4.46,4.28,0.0,0.07626999999999999
6998,20141019:1400,165.32,32.86,140.03,2.95,22.39,5.23,4.97,0.0,0.16532
6999,20141019:1500,355.96,131.48,220.03,5.24,29.68,6.04,4.48,0.0,0.35596
7000,20141019:1600,295.95,62.63,234.48,5.03,34.58,7.03,4.28,0.0,0.29595
7001,20141019:1700,675.32,411.12,260.45,8.49,36.38,7.88,4.14,0.0,0.67532
7002,20141019:1800,615.62,360.09,253.45,7.87,34.77,8.74,3.93,0.0,0.6156200000000001
7003,20141019:1900,771.62,631.1,148.04,8.73,30.02,8.45,3.38,0.0,0.77162
7004,20141019:2000,369.75,209.66,162.05,4.71,22.85,8.94,3.03,0.0,0.36975
7005,20141019:2100,187.37,104.88,95.63,2.51,13.98,9.14,2.76,0.0,0.18737
7006,20141019:2200,24.26,0.0,37.36,0.72,4.04,8.88,2.34,0.0,0.02426
7007,20141019:2300,0.0,0.0,0.0,0.0,0.0,8.23,2.21,0.0,0.0
7008,20141020:0000,0.0,0.0,0.0,0.0,0.0,7.63,2.21,0.0,0.0
7009,20141020:0100,0.0,0.0,0.0,0.0,0.0,7.13,2.48,0.0,0.0
7010,20141020:0200,0.0,0.0,0.0,0.0,0.0,6.71,2.76,0.0,0.0
7011,20141020:0300,0.0,0.0,0.0,0.0,0.0,6.6,2.83,0.0,0.0
7012,20141020:0400,0.0,0.0,0.0,0.0,0.0,6.76,2.69,0.0,0.0
7013,20141020:0500,0.0,0.0,0.0,0.0,0.0,6.85,2.48,0.0,0.0
7014,20141020:0600,0.0,0.0,0.0,0.0,0.0,6.99,2.34,0.0,0.0
7015,20141020:0700,0.0,0.0,0.0,0.0,0.0,7.18,2.41,0.0,0.0
7016,20141020:0800,0.0,0.0,0.0,0.0,0.0,7.18,2.48,0.0,0.0
7017,20141020:0900,0.0,0.0,0.0,0.0,0.0,7.0,2.55,0.0,0.0
7018,20141020:1000,0.0,0.0,0.0,0.0,0.0,7.04,2.55,0.0,0.0
7019,20141020:1100,0.0,0.0,0.0,0.0,0.0,7.1,2.41,0.0,0.0
7020,20141020:1200,0.0,0.0,3.64,0.07,3.23,7.19,2.62,0.0,0.0
7021,20141020:1300,15.52,0.0,27.34,0.53,13.2,8.03,2.9,0.0,0.015519999999999999
7022,20141020:1400,10.2,0.0,20.96,0.41,22.11,8.97,3.1,0.0,0.010199999999999999
7023,20141020:1500,118.28,0.0,132.13,2.56,29.37,10.16,3.52,0.0,0.11828
7024,20141020:1600,172.29,9.7,174.39,3.46,34.24,10.38,3.45,0.0,0.17229
7025,20141020:1700,121.9,0.0,135.77,2.63,36.02,10.44,3.59,0.0,0.12190000000000001
7026,20141020:1800,102.1,0.0,116.64,2.26,34.4,10.65,3.72,0.0,0.1021
7027,20141020:1900,23.97,0.0,37.36,0.72,29.68,11.35,4.14,0.0,0.023969999999999998
7028,20141020:2000,7.26,0.0,17.31,0.34,22.52,11.68,4.14,0.0,0.00726
7029,20141020:2100,1.79,0.0,9.11,0.18,13.68,11.63,4.28,0.0,0.0017900000000000001
7030,20141020:2200,0.0,0.0,2.73,0.05,3.75,11.33,4.0,0.0,0.0
7031,20141020:2300,0.0,0.0,0.0,0.0,0.0,10.94,3.66,0.0,0.0
7032,20141021:0000,0.0,0.0,0.0,0.0,0.0,10.68,3.38,0.0,0.0
7033,20141021:0100,0.0,0.0,0.0,0.0,0.0,10.63,3.17,0.0,0.0
7034,20141021:0200,0.0,0.0,0.0,0.0,0.0,10.6,2.9,0.0,0.0
7035,20141021:0300,0.0,0.0,0.0,0.0,0.0,10.56,2.55,0.0,0.0
7036,20141021:0400,0.0,0.0,0.0,0.0,0.0,10.44,2.14,0.0,0.0
7037,20141021:0500,0.0,0.0,0.0,0.0,0.0,10.33,1.52,0.0,0.0
7038,20141021:0600,0.0,0.0,0.0,0.0,0.0,10.02,1.31,0.0,0.0
7039,20141021:0700,0.0,0.0,0.0,0.0,0.0,10.02,2.76,0.0,0.0
7040,20141021:0800,0.0,0.0,0.0,0.0,0.0,9.91,2.69,0.0,0.0
7041,20141021:0900,0.0,0.0,0.0,0.0,0.0,9.57,2.69,0.0,0.0
7042,20141021:1000,0.0,0.0,0.0,0.0,0.0,9.15,2.83,0.0,0.0
7043,20141021:1100,0.0,0.0,0.0,0.0,0.0,9.03,3.03,0.0,0.0
7044,20141021:1200,0.0,0.0,3.64,0.07,3.0,8.9,3.24,0.0,0.0
7045,20141021:1300,19.36,0.0,31.89,0.62,12.95,9.23,4.69,0.0,0.01936
7046,20141021:1400,2.93,0.0,10.93,0.21,21.83,9.62,5.1,0.0,0.0029300000000000003
7047,20141021:1500,6.01,0.0,15.49,0.3,29.06,9.84,5.31,0.0,0.00601
7048,20141021:1600,91.39,0.0,105.7,2.05,33.9,9.97,5.72,0.0,0.09139
7049,20141021:1700,97.09,0.0,111.17,2.15,35.66,9.84,5.93,0.0,0.09709000000000001
7050,20141021:1800,8.74,0.0,19.14,0.37,34.05,9.61,6.21,0.0,0.00874
7051,20141021:1900,6.73,0.0,16.4,0.32,29.34,8.56,6.14,0.0,0.006730000000000001
7052,20141021:2000,8.13,0.0,18.22,0.35,22.2,7.86,6.28,0.0,0.00813
7053,20141021:2100,19.54,0.0,31.89,0.62,13.38,7.58,6.14,0.0,0.01954
7054,20141021:2200,0.0,0.0,0.0,0.0,0.0,7.44,6.14,0.0,0.0
7055,20141021:2300,0.0,0.0,0.0,0.0,0.0,7.39,6.55,0.0,0.0
7056,20141022:0000,0.0,0.0,0.0,0.0,0.0,7.32,6.55,0.0,0.0
7057,20141022:0100,0.0,0.0,0.0,0.0,0.0,7.28,6.34,0.0,0.0
7058,20141022:0200,0.0,0.0,0.0,0.0,0.0,7.38,5.93,0.0,0.0
