,time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int,cf
2469,20140413:2100,391.37,203.32,205.09,6.83,30.89,19.64,7.59,0.0,0.39137
2470,20140413:2200,206.03,103.65,127.77,4.18,20.32,19.08,6.62,0.0,0.20603
2471,20140413:2300,48.19,15.86,56.94,1.61,9.5,18.4,5.52,0.0,0.04819
2472,20140414:0000,0.0,0.0,0.0,0.0,0.0,17.41,4.34,0.0,0.0
2473,20140414:0100,0.0,0.0,0.0,0.0,0.0,15.99,2.97,0.0,0.0
2474,20140414:0200,0.0,0.0,0.0,0.0,0.0,14.63,1.66,0.0,0.0
2475,20140414:0300,0.0,0.0,0.0,0.0,0.0,13.03,2.0,0.0,0.0
2476,20140414:0400,0.0,0.0,0.0,0.0,0.0,11.48,3.17,0.0,0.0
2477,20140414:0500,0.0,0.0,0.0,0.0,0.0,10.45,2.9,0.0,0.0
2478,20140414:0600,0.0,0.0,0.0,0.0,0.0,10.32,3.1,0.0,0.0
2479,20140414:0700,0.0,0.0,0.0,0.0,0.0,10.0,3.1,0.0,0.0
2480,20140414:0800,0.0,0.0,0.0,0.0,0.0,9.99,3.52,0.0,0.0
2481,20140414:0900,0.0,0.0,0.0,0.0,0.0,10.78,4.28,0.0,0.0
2482,20140414:1000,0.0,0.0,0.0,0.0,0.0,11.86,5.59,0.0,0.0
2483,20140414:1100,1.98,0.0,9.46,0.19,3.31,12.8,6.21,0.0,0.00198
2484,20140414:1200,54.5,0.0,70.17,1.36,14.1,13.52,6.55,0.0,0.0545
2485,20140414:1300,174.51,29.99,159.31,3.53,24.87,14.38,7.17,0.0,0.17451
2486,20140414:1400,186.86,11.5,189.64,3.83,35.21,15.39,8.21,0.0,0.18686000000000003
2487,20140414:1500,306.46,39.16,277.76,5.88,44.51,15.98,10.14,0.0,0.30645999999999995
2488,20140414:1600,203.78,10.84,205.86,4.13,51.76,15.15,11.24,0.0,0.20378
2489,20140414:1700,217.68,13.31,216.09,4.36,55.49,14.36,10.41,0.0,0.21768
2490,20140414:1800,212.18,12.07,213.25,4.29,54.5,15.46,9.86,0.0,0.21218
2491,20140414:1900,192.52,8.35,197.46,3.93,49.15,14.77,9.59,0.0,0.19252
2492,20140414:2000,156.9,2.33,168.75,3.3,40.92,13.97,8.62,0.0,0.1569
2493,20140414:2100,112.2,0.0,127.57,2.47,31.1,13.52,7.38,0.0,0.11220000000000001
2494,20140414:2200,63.58,0.0,79.28,1.54,20.52,12.98,5.72,0.0,0.06358
2495,20140414:2300,18.34,0.0,30.98,0.6,9.7,11.56,4.83,0.0,0.01834
2496,20140415:0000,0.0,0.0,0.0,0.0,0.0,9.98,4.55,0.0,0.0
2497,20140415:0100,0.0,0.0,0.0,0.0,0.0,8.43,4.14,0.0,0.0
2498,20140415:0200,0.0,0.0,0.0,0.0,0.0,7.02,3.66,0.0,0.0
2499,20140415:0300,0.0,0.0,0.0,0.0,0.0,5.94,3.79,0.0,0.0
2500,20140415:0400,0.0,0.0,0.0,0.0,0.0,4.93,3.93,0.0,0.0
2501,20140415:0500,0.0,0.0,0.0,0.0,0.0,4.03,4.0,0.0,0.0
2502,20140415:0600,0.0,0.0,0.0,0.0,0.0,3.5,4.07,0.0,0.0
2503,20140415:0700,0.0,0.0,0.0,0.0,0.0,2.66,4.14,0.0,0.0
2504,20140415:0800,0.0,0.0,0.0,0.0,0.0,1.86,5.52,0.0,0.0
2505,20140415:0900,0.0,0.0,0.0,0.0,0.0,0.96,5.38,0.0,0.0
2506,20140415:1000,0.0,0.0,0.0,0.0,0.0,0.54,4.69,0.0,0.0
2507,20140415:1100,0.0,0.0,0.86,0.02,3.6,0.3,4.9,0.0,0.0
2508,20140415:1200,0.93,0.0,7.29,0.14,14.39,0.08,5.72,0.0,0.00093
2509,20140415:1300,51.77,0.0,63.79,1.24,25.17,-0.44,6.21,0.0,0.051770000000000004
2510,20140415:1400,176.16,6.86,171.85,3.42,35.52,-0.52,6.55,0.0,0.17615999999999998
2511,20140415:1500,137.57,2.36,141.38,2.77,44.84,-0.34,6.97,0.0,0.13757
2512,20140415:1600,275.96,16.79,252.15,5.1,52.12,-0.42,6.9,0.0,0.27596
2513,20140415:1700,293.99,18.08,267.8,5.42,55.85,-0.08,6.62,0.0,0.29399000000000003
2514,20140415:1800,290.04,18.03,265.05,5.36,54.84,0.58,6.62,0.0,0.29004
2515,20140415:1900,265.8,14.25,246.45,4.96,49.44,0.4,6.9,0.0,0.26580000000000004
2516,20140415:2000,223.42,10.43,211.41,4.23,41.16,0.14,7.38,0.0,0.22341999999999998
2517,20140415:2100,162.83,3.3,163.37,3.21,31.31,-0.32,7.79,0.0,0.16283
2518,20140415:2200,95.32,0.0,104.79,2.03,20.72,-0.66,8.0,0.0,0.09531999999999999
2519,20140415:2300,30.81,0.0,42.83,0.83,9.9,-0.77,7.93,0.0,0.030809999999999997
2520,20140416:0000,0.0,0.0,0.0,0.0,0.0,-1.36,7.24,0.0,0.0
2521,20140416:0100,0.0,0.0,0.0,0.0,0.0,-2.04,6.83,0.0,0.0
2522,20140416:0200,0.0,0.0,0.0,0.0,0.0,-2.77,6.69,0.0,0.0
2523,20140416:0300,0.0,0.0,0.0,0.0,0.0,-3.32,6.48,0.0,0.0
2524,20140416:0400,0.0,0.0,0.0,0.0,0.0,-3.65,6.34,0.0,0.0
2525,20140416:0500,0.0,0.0,0.0,0.0,0.0,-3.84,6.21,0.0,0.0
2526,20140416:0600,0.0,0.0,0.0,0.0,0.0,-3.92,6.0,0.0,0.0
2527,20140416:0700,0.0,0.0,0.0,0.0,0.0,-4.14,5.86,0.0,0.0
2528,20140416:0800,0.0,0.0,0.0,0.0,0.0,-4.18,5.31,0.0,0.0
2529,20140416:0900,0.0,0.0,0.0,0.0,0.0,-4.23,4.62,0.0,0.0
2530,20140416:1000,0.0,0.0,0.0,0.0,0.0,-4.27,4.07,0.0,0.0
2531,20140416:1100,12.2,0.0,22.35,0.46,3.89,-4.25,3.45,0.0,0.012199999999999999
2532,20140416:1200,161.43,110.89,77.32,3.79,14.68,-3.55,3.24,0.0,0.16143000000000002
2533,20140416:1300,450.53,320.71,117.67,7.36,25.46,-2.46,2.97,0.0,0.45053
2534,20140416:1400,708.78,535.21,146.37,10.66,35.83,-1.05,3.17,0.0,0.70878
2535,20140416:1500,894.37,716.79,165.48,13.34,45.17,0.06,2.69,0.0,0.89437
2536,20140416:1600,474.22,100.28,360.86,8.22,52.47,0.89,2.41,0.0,0.47422000000000003
2537,20140416:1700,495.03,99.61,384.84,8.66,56.21,1.75,2.21,0.0,0.49502999999999997
2538,20140416:1800,484.89,98.11,378.13,8.52,55.17,2.48,2.14,0.0,0.48489
2539,20140416:1900,442.61,88.65,345.5,7.8,49.72,2.62,2.34,0.0,0.44261
2540,20140416:2000,370.33,72.58,290.9,6.58,41.4,3.08,3.24,0.0,0.37033
2541,20140416:2100,270.85,51.41,218.32,4.96,31.52,3.13,4.21,0.0,0.27085000000000004
2542,20140416:2200,154.66,25.12,138.3,3.11,20.92,2.55,4.97,0.0,0.15466
2543,20140416:2300,50.2,2.2,61.72,1.27,10.1,1.76,4.76,0.0,0.0502
2544,20140417:0000,0.0,0.0,0.0,0.0,0.0,0.84,4.07,0.0,0.0
2545,20140417:0100,0.0,0.0,0.0,0.0,0.0,0.29,3.31,0.0,0.0
2546,20140417:0200,0.0,0.0,0.0,0.0,0.0,0.01,2.69,0.0,0.0
2547,20140417:0300,0.0,0.0,0.0,0.0,0.0,-0.32,2.28,0.0,0.0
2548,20140417:0400,0.0,0.0,0.0,0.0,0.0,-0.45,3.17,0.0,0.0
2549,20140417:0500,0.0,0.0,0.0,0.0,0.0,-0.42,4.07,0.0,0.0
2550,20140417:0600,0.0,0.0,0.0,0.0,0.0,-0.39,4.76,0.0,0.0
2551,20140417:0700,0.0,0.0,0.0,0.0,0.0,-0.23,5.38,0.0,0.0
2552,20140417:0800,0.0,0.0,0.0,0.0,0.0,-0.16,5.93,0.0,0.0
2553,20140417:0900,0.0,0.0,0.0,0.0,0.0,-0.07,6.28,0.0,0.0
2554,20140417:1000,0.0,0.0,0.0,0.0,0.0,-0.07,6.07,0.0,0.0
2555,20140417:1100,9.08,0.0,18.91,0.39,4.18,-0.03,6.14,0.0,0.00908
2556,20140417:1200,98.24,23.28,89.82,2.22,14.96,0.56,6.48,0.0,0.09824
2557,20140417:1300,234.29,54.46,179.73,4.31,25.75,1.32,7.1,0.0,0.23429
2558,20140417:1400,640.39,467.78,141.41,9.62,36.13,2.05,6.83,0.0,0.64039
2559,20140417:1500,891.98,698.15,162.15,13.07,45.49,2.88,6.76,0.0,0.89198
2560,20140417:1600,1020.29,821.31,173.8,14.87,52.82,3.47,7.1,0.0,1.02029
2561,20140417:1700,1076.16,874.82,179.3,15.67,56.57,3.9,7.59,0.0,1.07616
2562,20140417:1800,1053.93,855.41,177.61,15.4,55.5,4.36,7.52,0.0,1.05393
2563,20140417:1900,952.28,762.4,170.93,14.1,50.0,5.19,6.76,0.0,0.95228
2564,20140417:2000,787.03,609.65,157.0,11.89,41.63,5.8,6.41,0.0,0.78703
2565,20140417:2100,561.02,413.94,134.66,8.96,31.73,6.02,6.07,0.0,0.56102
2566,20140417:2200,292.54,205.63,102.21,5.63,21.12,5.86,5.59,0.0,0.29254
2567,20140417:2300,60.41,35.55,55.88,2.33,10.29,5.23,4.83,0.0,0.06041
2568,20140418:0000,0.0,0.0,0.0,0.0,0.0,4.32,4.21,0.0,0.0
2569,20140418:0100,0.0,0.0,0.0,0.0,0.0,3.78,3.38,0.0,0.0
2570,20140418:0200,0.0,0.0,0.0,0.0,0.0,3.89,2.69,0.0,0.0
2571,20140418:0300,0.0,0.0,0.0,0.0,0.0,4.48,3.31,0.0,0.0
2572,20140418:0400,0.0,0.0,0.0,0.0,0.0,5.02,4.34,0.0,0.0
2573,20140418:0500,0.0,0.0,0.0,0.0,0.0,5.65,4.69,0.0,0.0
2574,20140418:0600,0.0,0.0,0.0,0.0,0.0,5.84,4.55,0.0,0.0
2575,20140418:0700,0.0,0.0,0.0,0.0,0.0,5.12,3.52,0.0,0.0
2576,20140418:0800,0.0,0.0,0.0,0.0,0.0,4.87,3.31,0.0,0.0
2577,20140418:0900,0.0,0.0,0.0,0.0,0.0,4.76,3.03,0.0,0.0
2578,20140418:1000,0.0,0.0,0.0,0.0,0.0,4.54,3.03,0.0,0.0
2579,20140418:1100,6.86,0.0,16.33,0.34,4.47,4.36,2.9,0.0,0.006860000000000001
2580,20140418:1200,74.8,4.94,83.92,1.73,15.24,4.81,2.76,0.0,0.07479999999999999
2581,20140418:1300,241.78,72.78,175.46,4.52,26.03,5.84,2.62,0.0,0.24178
2582,20140418:1400,302.92,58.43,246.68,5.58,36.43,6.76,3.03,0.0,0.30292
2583,20140418:1500,219.87,10.48,216.84,4.34,45.81,7.46,2.9,0.0,0.21987
2584,20140418:1600,475.82,110.06,369.35,8.52,53.16,8.17,2.21,0.0,0.47582
2585,20140418:1700,496.65,115.45,389.41,8.96,56.93,8.6,1.52,0.0,0.49665
2586,20140418:1800,485.16,113.89,382.68,8.82,55.82,9.3,1.1,0.0,0.48516000000000004
2587,20140418:1900,442.5,103.06,350.76,8.1,50.28,10.0,1.03,0.0,0.4425
2588,20140418:2000,370.74,85.49,294.93,6.85,41.87,10.45,1.24,0.0,0.37074
2589,20140418:2100,272.64,60.43,222.7,5.19,31.94,9.96,0.97,0.0,0.27264
2590,20140418:2200,156.0,30.3,141.23,3.26,21.31,9.65,0.62,0.0,0.156
2591,20140418:2300,51.45,3.7,64.22,1.38,10.49,9.17,1.45,0.0,0.05145
2592,20140419:0000,0.0,0.0,0.0,0.0,0.0,8.27,3.03,0.0,0.0
2593,20140419:0100,0.0,0.0,0.0,0.0,0.0,6.92,4.07,0.0,0.0
2594,20140419:0200,0.0,0.0,0.0,0.0,0.0,5.52,4.21,0.0,0.0
2595,20140419:0300,0.0,0.0,0.0,0.0,0.0,4.28,4.07,0.0,0.0
2596,20140419:0400,0.0,0.0,0.0,0.0,0.0,3.22,4.14,0.0,0.0
2597,20140419:0500,0.0,0.0,0.0,0.0,0.0,2.25,4.14,0.0,0.0
2598,20140419:0600,0.0,0.0,0.0,0.0,0.0,1.55,4.14,0.0,0.0
2599,20140419:0700,0.0,0.0,0.0,0.0,0.0,1.0,3.86,0.0,0.0
2600,20140419:0800,0.0,0.0,0.0,0.0,0.0,0.75,3.66,0.0,0.0
2601,20140419:0900,0.0,0.0,0.0,0.0,0.0,0.54,3.52,0.0,0.0
2602,20140419:1000,0.0,0.0,0.0,0.0,0.0,0.34,3.66,0.0,0.0
2603,20140419:1100,15.6,0.0,26.65,0.55,4.75,0.36,4.14,0.0,0.0156
2604,20140419:1200,162.19,114.11,77.45,3.95,15.52,1.33,4.55,0.0,0.16219
2605,20140419:1300,440.05,317.99,116.2,7.43,26.31,2.87,5.1,0.0,0.44005
2606,20140419:1400,689.04,527.44,144.61,10.67,36.72,4.4,4.55,0.0,0.68904
2607,20140419:1500,865.1,705.53,162.5,13.3,46.13,5.9,3.45,0.0,0.8651
2608,20140419:1600,963.72,828.47,174.17,15.1,53.51,7.0,2.28,0.0,0.96372
2609,20140419:1700,985.27,883.05,179.71,15.91,57.28,7.6,1.03,0.0,0.98527
2610,20140419:1800,960.84,863.6,179.17,15.67,56.15,8.17,0.76,0.0,0.96084
2611,20140419:1900,894.74,771.82,171.37,14.36,50.55,8.79,1.52,0.0,0.89474
2612,20140419:2000,752.8,618.0,157.39,12.14,42.1,8.83,1.66,0.0,0.7527999999999999
2613,20140419:2100,549.32,421.31,134.98,9.19,32.15,8.57,2.14,0.0,0.54932
2614,20140419:2200,292.15,210.09,103.41,5.82,21.51,7.9,2.21,0.0,0.29214999999999997
2615,20140419:2300,61.86,37.8,56.83,2.49,10.68,6.94,1.86,0.0,0.06186
2616,20140420:0000,0.0,0.0,0.0,0.0,0.0,5.69,1.66,0.0,0.0
2617,20140420:0100,0.0,0.0,0.0,0.0,0.0,4.52,1.52,0.0,0.0
2618,20140420:0200,0.0,0.0,0.0,0.0,0.0,3.18,1.52,0.0,0.0
2619,20140420:0300,0.0,0.0,0.0,0.0,0.0,2.34,1.38,0.0,0.0
2620,20140420:0400,0.0,0.0,0.0,0.0,0.0,3.79,1.03,0.0,0.0
2621,20140420:0500,0.0,0.0,0.0,0.0,0.0,2.72,1.31,0.0,0.0
2622,20140420:0600,0.0,0.0,0.0,0.0,0.0,0.72,2.0,0.0,0.0
2623,20140420:0700,0.0,0.0,0.0,0.0,0.0,-0.07,2.21,0.0,0.0
2624,20140420:0800,0.0,0.0,0.0,0.0,0.0,-0.13,2.76,0.0,0.0
2625,20140420:0900,0.0,0.0,0.0,0.0,0.0,0.62,3.31,0.0,0.0
2626,20140420:1000,0.0,0.0,0.0,0.0,0.0,1.32,3.66,0.0,0.0
2627,20140420:1100,17.76,0.0,29.23,0.6,5.03,1.78,3.72,0.0,0.01776
2628,20140420:1200,142.62,108.99,64.36,3.62,15.79,2.97,3.59,0.0,0.14262
2629,20140420:1300,430.44,313.74,115.66,7.39,26.59,4.13,3.72,0.0,0.43044
2630,20140420:1400,674.15,520.15,142.83,10.59,37.01,4.94,3.59,0.0,0.67415
2631,20140420:1500,854.4,695.37,160.62,13.18,46.44,5.89,3.45,0.0,0.8543999999999999
2632,20140420:1600,966.61,814.45,172.17,14.93,53.84,6.65,3.38,0.0,0.96661
2633,20140420:1700,1013.23,867.68,177.69,15.72,57.62,7.38,3.38,0.0,1.01323
2634,20140420:1800,994.32,847.11,175.98,15.44,56.47,7.93,3.59,0.0,0.9943200000000001
2635,20140420:1900,910.02,755.62,169.32,14.15,50.82,8.34,3.86,0.0,0.9100199999999999
2636,20140420:2000,567.02,286.54,278.52,9.35,42.33,8.34,3.52,0.0,0.56702
2637,20140420:2100,413.22,213.01,201.16,7.11,32.35,8.0,3.1,0.0,0.41322000000000003
2638,20140420:2200,225.2,98.48,141.69,4.52,21.7,7.58,2.55,0.0,0.22519999999999998
2639,20140420:2300,61.39,17.28,66.63,1.94,10.87,6.77,2.07,0.0,0.06139
2640,20140421:0000,0.0,0.0,0.0,0.0,0.0,5.59,1.72,0.0,0.0
2641,20140421:0100,0.0,0.0,0.0,0.0,0.0,4.68,1.59,0.0,0.0
2642,20140421:0200,0.0,0.0,0.0,0.0,0.0,3.99,1.59,0.0,0.0
2643,20140421:0300,0.0,0.0,0.0,0.0,0.0,3.07,1.38,0.0,0.0
2644,20140421:0400,0.0,0.0,0.0,0.0,0.0,3.78,1.1,0.0,0.0
2645,20140421:0500,0.0,0.0,0.0,0.0,0.0,5.26,0.55,0.0,0.0
2646,20140421:0600,0.0,0.0,0.0,0.0,0.0,5.7,0.34,0.0,0.0
2647,20140421:0700,0.0,0.0,0.0,0.0,0.0,3.31,1.79,0.0,0.0
2648,20140421:0800,0.0,0.0,0.0,0.0,0.0,2.79,2.14,0.0,0.0
2649,20140421:0900,0.0,0.0,0.0,0.0,0.0,2.71,2.69,0.0,0.0
2650,20140421:1000,0.0,0.0,0.0,0.0,0.0,2.99,2.69,0.0,0.0
2651,20140421:1100,15.32,0.0,26.65,0.55,5.3,3.58,2.48,0.0,0.01532
2652,20140421:1200,111.99,33.6,96.99,2.61,16.06,5.22,1.93,0.0,0.11198999999999999
2653,20140421:1300,406.45,303.48,111.92,7.2,26.86,7.88,2.41,0.0,0.40645
2654,20140421:1400,485.93,244.32,247.02,8.26,37.29,10.06,2.48,0.0,0.48593000000000003
2655,20140421:1500,795.31,671.57,156.16,12.81,46.75,11.97,2.34,0.0,0.79531
2656,20140421:1600,481.53,118.04,378.38,8.82,54.18,13.66,2.69,0.0,0.48152999999999996
2657,20140421:1700,782.82,469.15,353.1,12.99,57.97,14.92,3.24,0.0,0.7828200000000001
2658,20140421:1800,636.52,261.3,401.04,11.08,56.78,16.13,3.79,0.0,0.63652
2659,20140421:1900,495.46,150.23,363.54,8.98,51.09,16.84,4.07,0.0,0.49545999999999996
2660,20140421:2000,198.56,8.98,206.65,4.13,42.55,17.06,3.45,0.0,0.19856000000000001
2661,20140421:2100,106.01,0.0,123.93,2.4,32.55,17.19,2.83,0.0,0.10601000000000001
2662,20140421:2200,172.34,52.46,141.15,3.69,21.89,16.55,2.41,0.0,0.17234
2663,20140421:2300,48.97,1.0,64.55,1.29,11.06,15.36,2.76,0.0,0.04897
2664,20140422:0000,0.0,0.0,0.0,0.0,0.0,14.13,3.17,0.0,0.0
2665,20140422:0100,0.0,0.0,0.0,0.0,0.0,13.34,3.38,0.0,0.0
2666,20140422:0200,0.0,0.0,0.0,0.0,0.0,12.58,3.52,0.0,0.0
2667,20140422:0300,0.0,0.0,0.0,0.0,0.0,11.92,3.45,0.0,0.0
2668,20140422:0400,0.0,0.0,0.0,0.0,0.0,11.38,3.24,0.0,0.0
2669,20140422:0500,0.0,0.0,0.0,0.0,0.0,11.21,3.17,0.0,0.0
2670,20140422:0600,0.0,0.0,0.0,0.0,0.0,11.03,3.17,0.0,0.0
2671,20140422:0700,0.0,0.0,0.0,0.0,0.0,11.07,2.9,0.0,0.0
2672,20140422:0800,0.0,0.0,0.0,0.0,0.0,10.75,2.34,0.0,0.0
2673,20140422:0900,0.0,0.0,0.0,0.0,0.0,10.24,2.0,0.0,0.0
2674,20140422:1000,0.0,0.0,0.0,0.0,0.0,9.63,2.48,0.0,0.0
2675,20140422:1100,0.0,0.0,4.3,0.09,5.57,9.44,2.48,0.0,0.0
2676,20140422:1200,59.84,0.0,74.72,1.45,16.33,9.94,2.55,0.0,0.059840000000000004
2677,20140422:1300,11.53,0.0,22.78,0.44,27.13,10.92,2.76,0.0,0.011529999999999999
2678,20140422:1400,295.52,52.79,252.22,5.63,37.58,11.88,3.03,0.0,0.29552
2679,20140422:1500,85.22,0.0,101.15,1.96,47.05,12.97,2.97,0.0,0.08522
2680,20140422:1600,207.43,10.48,210.34,4.22,54.51,13.45,3.45,0.0,0.20743
2681,20140422:1700,360.94,38.65,333.17,6.95,58.31,13.55,3.79,0.0,0.36094
2682,20140422:1800,707.82,338.44,390.4,11.93,57.1,14.06,4.34,0.0,0.70782
2683,20140422:1900,904.28,755.93,167.31,14.24,51.35,12.15,5.38,0.0,0.90428
2684,20140422:2000,759.1,609.74,153.57,12.12,42.78,11.88,5.72,0.0,0.7591
2685,20140422:2100,204.52,19.98,194.76,4.08,32.75,11.09,6.41,0.0,0.20452
2686,20140422:2200,115.12,3.65,125.0,2.49,22.08,9.64,6.9,0.0,0.11512
2687,20140422:2300,4.78,0.0,13.67,0.26,11.26,8.22,6.76,0.0,0.00478
2688,20140423:0000,0.0,0.0,0.0,0.0,0.0,7.11,6.07,0.0,0.0
2689,20140423:0100,0.0,0.0,0.0,0.0,0.0,6.57,5.03,0.0,0.0
2690,20140423:0200,0.0,0.0,0.0,0.0,0.0,6.32,4.76,0.0,0.0
2691,20140423:0300,0.0,0.0,0.0,0.0,0.0,5.94,4.9,0.0,0.0
2692,20140423:0400,0.0,0.0,0.0,0.0,0.0,5.75,4.83,0.0,0.0
2693,20140423:0500,0.0,0.0,0.0,0.0,0.0,5.78,5.1,0.0,0.0
2694,20140423:0600,0.0,0.0,0.0,0.0,0.0,5.67,6.14,0.0,0.0
2695,20140423:0700,0.0,0.0,0.0,0.0,0.0,3.89,7.03,0.0,0.0
2696,20140423:0800,0.0,0.0,0.0,0.0,0.0,3.19,7.24,0.0,0.0
2697,20140423:0900,0.0,0.0,0.0,0.0,0.0,2.85,7.31,0.0,0.0
2698,20140423:1000,0.0,0.0,0.0,0.0,0.0,2.51,7.38,0.0,0.0
2699,20140423:1100,8.96,0.0,18.91,0.39,5.84,2.38,7.45,0.0,0.008960000000000001
2700,20140423:1200,8.39,0.0,18.22,0.35,16.59,2.54,7.52,0.0,0.00839
2701,20140423:1300,77.23,0.0,89.3,1.73,27.4,3.15,7.45,0.0,0.07723000000000001
2702,20140423:1400,423.85,141.14,269.33,7.22,37.85,4.05,7.1,0.0,0.42385
2703,20140423:1500,535.57,170.68,348.12,9.0,47.35,5.12,7.1,0.0,0.5355700000000001
2704,20140423:1600,1012.37,830.06,172.35,15.33,54.83,6.17,6.76,0.0,1.01237
2705,20140423:1700,1067.51,891.33,179.2,16.27,58.65,7.09,6.48,0.0,1.06751
2706,20140423:1800,1048.82,878.79,178.83,16.13,57.41,7.98,6.14,0.0,1.0488199999999999
2707,20140423:1900,955.9,789.36,172.19,14.87,51.62,8.18,5.38,0.0,0.9559
2708,20140423:2000,797.74,634.5,158.12,12.63,43.0,8.56,5.52,0.0,0.79774
2709,20140423:2100,578.6,435.77,136.63,9.67,32.95,8.46,6.14,0.0,0.5786
2710,20140423:2200,309.52,222.35,104.8,6.26,22.27,7.78,6.62,0.0,0.30951999999999996
2711,20140423:2300,66.99,41.96,59.46,2.82,11.45,6.91,6.41,0.0,0.06699
2712,20140424:0000,0.0,0.0,0.0,0.0,0.0,5.86,6.21,0.0,0.0
2713,20140424:0100,0.0,0.0,0.0,0.0,0.0,4.89,6.07,0.0,0.0
2714,20140424:0200,0.0,0.0,0.0,0.0,0.0,4.1,5.79,0.0,0.0
2715,20140424:0300,0.0,0.0,0.0,0.0,0.0,3.44,5.38,0.0,0.0
2716,20140424:0400,0.0,0.0,0.0,0.0,0.0,2.86,4.83,0.0,0.0
2717,20140424:0500,0.0,0.0,0.0,0.0,0.0,2.3,4.28,0.0,0.0
2718,20140424:0600,0.0,0.0,0.0,0.0,0.0,1.76,3.93,0.0,0.0
2719,20140424:0700,0.0,0.0,0.0,0.0,0.0,1.5,3.93,0.0,0.0
2720,20140424:0800,0.0,0.0,0.0,0.0,0.0,1.11,3.79,0.0,0.0
2721,20140424:0900,0.0,0.0,0.0,0.0,0.0,0.79,3.66,0.0,0.0
2722,20140424:1000,0.0,0.0,0.0,0.0,0.0,0.56,3.72,0.0,0.0
2723,20140424:1100,18.65,0.0,30.09,0.62,6.1,0.63,3.72,0.0,0.01865
2724,20140424:1200,177.73,127.01,80.67,4.45,16.85,1.95,3.38,0.0,0.17773
2725,20140424:1300,452.84,334.54,117.56,7.96,27.66,3.98,3.1,0.0,0.45283999999999996
2726,20140424:1400,691.66,542.12,144.84,11.17,38.12,5.62,2.97,0.0,0.6916599999999999
2727,20140424:1500,865.41,716.0,162.67,13.74,47.64,6.91,2.9,0.0,0.86541
2728,20140424:1600,970.02,836.01,173.18,15.49,55.16,7.95,2.62,0.0,0.97002
2729,20140424:1700,1006.42,887.92,177.54,16.25,58.98,8.82,2.28,0.0,1.0064199999999999
2730,20140424:1800,974.72,864.94,176.91,15.95,57.71,9.47,1.72,0.0,0.97472
2731,20140424:1900,874.59,771.19,169.05,14.61,51.88,10.13,0.83,0.0,0.87459
2732,20140424:2000,729.23,617.04,155.05,12.37,43.22,10.31,0.41,0.0,0.72923
2733,20140424:2100,530.69,421.68,133.77,9.44,33.15,10.39,0.07,0.0,0.5306900000000001
2734,20140424:2200,288.77,213.24,102.4,6.09,22.46,10.04,0.76,0.0,0.28876999999999997
2735,20140424:2300,57.9,12.81,66.18,1.8,11.63,9.21,1.03,0.0,0.0579
2736,20140425:0000,0.0,0.0,0.0,0.0,0.0,7.91,0.34,0.0,0.0
2737,20140425:0100,0.0,0.0,0.0,0.0,0.0,7.11,0.48,0.0,0.0
2738,20140425:0200,0.0,0.0,0.0,0.0,0.0,5.02,1.24,0.0,0.0
2739,20140425:0300,0.0,0.0,0.0,0.0,0.0,3.58,2.14,0.0,0.0
2740,20140425:0400,0.0,0.0,0.0,0.0,0.0,3.59,2.28,0.0,0.0
2741,20140425:0500,0.0,0.0,0.0,0.0,0.0,3.88,2.21,0.0,0.0
2742,20140425:0600,0.0,0.0,0.0,0.0,0.0,4.36,2.9,0.0,0.0
2743,20140425:0700,0.0,0.0,0.0,0.0,0.0,4.27,2.83,0.0,0.0
2744,20140425:0800,0.0,0.0,0.0,0.0,0.0,3.87,3.79,0.0,0.0
2745,20140425:0900,0.0,0.0,0.0,0.0,0.0,3.84,4.62,0.0,0.0
2746,20140425:1000,0.0,0.0,0.0,0.0,0.0,3.91,5.45,0.0,0.0
2747,20140425:1100,11.67,0.0,22.35,0.46,6.36,3.86,6.34,0.0,0.01167
2748,20140425:1200,132.85,54.09,98.48,3.14,17.1,4.27,6.83,0.0,0.13285
2749,20140425:1300,442.59,321.53,114.89,7.73,27.91,4.92,7.86,0.0,0.44259
2750,20140425:1400,612.62,405.11,184.06,9.72,38.39,5.68,8.76,0.0,0.61262
2751,20140425:1500,250.65,15.79,236.41,4.8,47.93,6.03,9.03,0.0,0.25065
2752,20140425:1600,666.3,253.05,392.53,10.9,55.47,6.32,9.03,0.0,0.6663
2753,20140425:1700,282.33,17.37,264.82,5.36,59.31,6.35,8.62,0.0,0.28232999999999997
2754,20140425:1800,597.68,173.01,407.8,10.13,58.02,6.34,8.34,0.0,0.59768
2755,20140425:1900,104.25,0.0,116.64,2.26,52.13,7.06,7.66,0.0,0.10425
2756,20140425:2000,33.04,0.0,46.47,0.9,43.44,7.09,6.41,0.0,0.03304
2757,20140425:2100,129.21,0.0,140.33,2.72,33.34,6.77,5.79,0.0,0.12921000000000002
2758,20140425:2200,51.86,0.0,65.61,1.27,22.64,6.34,4.9,0.0,0.051859999999999996
2759,20140425:2300,5.51,0.0,14.58,0.28,11.82,5.53,3.45,0.0,0.00551
2760,20140426:0000,0.0,0.0,0.0,0.0,0.0,5.45,3.66,0.0,0.0
2761,20140426:0100,0.0,0.0,0.0,0.0,0.0,5.67,5.1,0.0,0.0
2762,20140426:0200,0.0,0.0,0.0,0.0,0.0,5.61,6.34,0.0,0.0
2763,20140426:0300,0.0,0.0,0.0,0.0,0.0,4.81,6.97,0.0,0.0
